title	Law school
question	Should I go to law school?
headline_1	Opportunities: Does going to law school expand opportunities?
pro_1_1	Law degree is perhaps the most versatile degree	 Law degree is perhaps the most versatile degree "Why Go to Law School?" Kaplan: "Lawyers can function in the business world, whereas M.B.A.'s cannot function in a legal position. And although lawyers cannot be doctors, neither are they as closely held to their "field" as are M.D.'s. [...] A law degree gives you almost unparalleled mobility in your career&151;lawyers run movie studios, manage baseball teams, hold political office, serve in the foreign service, run Fortune 500 companies, and head a wide range of legal service organizations."
pro_1_2	Legal training is a very transferable skill	 Legal training is a very transferable skill Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "Even those who do totally leave the law continue to draw on the skills they developed in law practice, because those skills are broad-based and valuable. Legal training is very beneficial in the development of useful, transferable skills that are much in demand in the workplace. Both legal education and legal work provide excellent training in analytical thinking, communication, writing, and persuasiveness—skills that can be used in many endeavors."
pro_1_3	Huge variety of legal fields to choose from.	Huge variety of legal fields to choose from. David Lat. "In defense of going to law school." Above the Law. July 13th, 2010: "There are so many options for law-related employment outside of Biglaw — midsize or small law firms, federal government (e.g., the DOJ Honors Program), state government, clerkships (federal and state), fellowships, non-profits / public interest, and in-house (yes, even for new graduates). And that’s without even touching upon the many career alternatives for attorneys — all the things you can do with a law degree that don’t involve practicing law."
pro_1_4	A J.D. opens opportunities in political/govt work	 A J.D. opens opportunities in political/govt work "Why you should consider a JD MBA." MyMBACareer.com: "An MBA JD degree is also useful if you are considering a career in politics or government. Even if you don't plan to practice law or work in a business setting, there are many ways in which an MBA JD degree can help you prepare for a job in public service. Your range of knowledge will make you a valuable addition to any campaign, political staff or government office. In the same vein, government organizations are constantly working with private business and legal firms, and a JD MBA graduate is perfectly suited to such work."
pro_1_5	J.D. enables legislative drafting, analysis, lobbying	 J.D. enables legislative drafting, analysis, lobbying Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "sometimes there are opportunities within the parameters of these jobs to exercise other skills, such as legislative analysis and drafting, policy planning, or lobbying." 
pro_1_6	Law degree can be used for corporate in-house counsel	 Law degree can be used for corporate in-house counsel Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "Some practitioners leave law firms to work as corporate in-house counsel, using their legal skills as part of a team to further the business of their employers."
pro_1_7	J.D. can be used for nonprofit lawyering	 J.D. can be used for nonprofit lawyering Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "lawyering in a nonprofit organization, one that promotes values and issues prized by the lawyer, can reinvigorate interest.
pro_1_8	Lawyers can teach law subjects in schools	 Lawyers can teach law subjects in schools Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "Lawyers also are teaching legal subjects in law, business, real estate, paralegal, and court reporting schools."
pro_1_9	Lawyers can handle legal issues in bar associations and universities	 Lawyers can handle legal issues in bar associations and universities Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "many practitioners work within bar associations, universities, and colleges, handling the legal business of these entities." 
pro_1_10	J.D.'s can work in industries surrounding lawyers	 J.D.'s can work in industries surrounding lawyers Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "they can explore the industries that serve law firms or produce products for use by lawyers, or even set up their own businesses providing consultations to other lawyers in areas of self-developed expertise. Businesses that provide services and products to lawyers are expanding rapidly—computer consulting, legal product development and design, law book sales, practice management, office design, jury consulting, and legal software development, to name just a few. Look at the display ads in various legal publications to get an idea about the varied businesses that cater to law firms, many of which hire former lawyers to service those firms."
