title	Child beauty pageants
question	Are child beauty pageants tolerable, or should they be banned?
headline_1	Child abuse: Do child beauty pageants amount to child abuse?
pro_1_1	Parents should be trusted on entering kids in child beauty pageants.	Parents should be trusted on entering kids in child beauty pageants. The Minister for Children and Early Childhood Development, Wendy Lovell, said in regards to a planned beauty pageant in Australia: "we should trust parents to make the right decision for their children."[1]
pro_1_2	Despite outliers, the average beauty pageant is tame.	Despite outliers, the average beauty pageant is tame. Melbourne mother of four Kristin Kyle, who is organising Australia's first beauty pageant in 2011: "We are asking people to educate themselves. Toddlers & Tiaras is a reality TV show. They have to make it dramatic so people will watch it. Our pageant is not going to be like that."[2]
pro_1_3	Beauty pageants teach kids to be their very best.	Beauty pageants teach kids to be their very best. The promoters of Australia's first Universal Royalty Beauty Pagean defended the practice saying that it taught the lesson of "striving to be your very best."[3]
pro_1_4	Parents not pageant system are usually at fault.	Parents not pageant system are usually at fault. "Child Beauty Pageants Pros and Cons." Squidoo: "Toddler beauty pageants pros and cons are both numerous. Child pageants are like just about everything else - there's good and bad. Some pageants are better than others, but most of the problems that occur are often the fault of the parents themselves, and not the pageant or pageant system."
pro_1_5	The majority of pageants are fun for all.	The majority of pageants are fun for all. "Child Beauty Pageants Pros and Cons." Squidoo: "The majority of child pageants are well organized, fair, and fun. The best pageant directors go out of their way to ensure that every contestant has a positive, enjoyable experience."
pro_1_6	Pageants foster positive camaraderie among contestants.	Pageants foster positive camaraderie among contestants. "Pros Of Child Pageants." Squidoo: "The majority of child pageants and pageant parents work toward creating a sense of camaraderie among the contestants. The kids play together backstage, and the parents often help each other. Some contestants have made lifelong friends at pageants. When parents have the right attitude, the children will, too."
pro_1_7	Pageants have lots of fun backstage activities for kids.	Pageants have lots of fun backstage activities for kids. "Pros Of Child Pageants." Squidoo: "Pageants can be a lot of fun for kids. Most pageants sell foods that kids love, including pizza, hot dogs, popcorn, candy, and other snacks. Some of the larger pageants also provide backstage activities for the kids, and a few even have costumed characters interact with the younger girls."
pro_1_8	Beauty contests are little different than competitive sports.	Beauty contests are little different than competitive sports. Ranking girls' beauty is little different from winners and losers at a sports competition. If child beauty contests is considered abusive, then so should little league football, swimming competitions, and gymnastics, among a long list of competitive activities that very young children are allowed to do without complaint.
con_1_1	Child beauty contests amount to child abuse.	Child beauty contests amount to child abuse. "Child beauty pageants. Um, no." Lovelyish. January 15th, 2011: "I'd also like to point out that a little girl screaming, begging her mother not to 'tear it off' as she's held down in a chair for a brow-waxing is not just insensitive on the mother's part - it's abusive. Putting your four year old child through hours of hair-dying, waxing, extreme dieting, tanning, and who knows what else is so she can look like Cindy Crawford is child neglect. Why this is even legal is beyond me. I don't see a difference between repeatedly ripping your kid's hair out in the name of beauty and repeatedly hitting your child in the name of authority."
con_1_2	Moms enter kids into beauty pageants for own insecurities	 Moms enter kids into beauty pageants for own insecurities Leslie Cannold. "The ugly face of child beauty pageants." Sydney Morning Herald. May 21, 2011: "Some pageant mums are living out their own dreams of 'go[ing] somewhere in life', as one mother put it, rather than being 'stuck at home' due to early childbearing. While self-focused female ambition continues to be stigmatised in Western societies – with the ambitious working woman always contrasted unfavourably with the mum who sacrifices her career to stay at home – pageant mums justify their application of false eyelashes or even Botox to their children as evidence of a competitive desire for their daughter to win."
con_1_3	Child beauty pageants are just creepy, insidious.	Child beauty pageants are just creepy, insidious. Shadow Australia attorney-general Martin Pakula said: "There really is no place in Victoria for these pageants." As the father of a five-year-old girl, he found the pageants "creepy" and believes "they are not some innocent baby bonnet parade, they are something a bit more insidious."[4]
con_1_4	Parental ambitions can make kid queens mentally unwell.	Parental ambitions can make kid queens mentally unwell. "Tiaras before bedtime." Sidney Morning Herald. May 1st, 2011: "I have seen stage parents where their ambitions for their child have eclipsed the child's welfare to the point where the child becomes mentally unwell."
con_1_5	Pageants based on bad idea of children being better than others	 Pageants based on bad idea of children being better than others 
con_1_6	Judgement of children to participate can't be relied on	 Judgement of children to participate can't be relied on 
con_1_7	Absurdly young kids are being entered into pageants	 Absurdly young kids are being entered into pageants 
con_1_8	Toddlers and tiaras reveals how beauty pageants exploit kids	 Toddlers and tiaras reveals how beauty pageants exploit kids 
con_1_9	Beauty pageants are not similar to sports for kids	 Beauty pageants are not similar to sports for kids 
con_1_10	Very young kids should not be subject to superficial competition	 Very young kids should not be subject to superficial competition 
con_1_11	Beauty pageants often entail spray tanning 3 year olds.	Beauty pageants often entail spray tanning 3 year olds. 
con_1_12	Beauty pageants encourage kids to seek plastic surgery	 Beauty pageants encourage kids to seek plastic surgery 
con_1_13	Everyone loses but one in beauty pageants.	Everyone loses but one in beauty pageants. There is only one overall winner in beauty pageants. All the rest lose. Most other sports allow for a broader sharing of victory and the sense of accomplishment that can come with that.
con_1_14	Beauty pageants are big business	 Beauty pageants are big business 
headline_2	Life lessons: Do child beauty contests teach good life lessons?
pro_2_1	Beauty pageants teach kids to be their very best.	Beauty pageants teach kids to be their very best. The promoters of Australia's first Universal Royalty Beauty Pagean defended the practice saying that it taught the lesson of "striving to be your very best."[5]
