title	Release of Osama bin Laden death photos
question	
headline_1	Proof: Will photos help prove Osama's death, squelch conspiracy theories?
pro_1_1	Osama death photos would squelch conspiracy theories	 Osama death photos would squelch conspiracy theories "Editorial: Release pictures of slain bin Laden." Chicago Sun-Times Editorial. May 3rd, 2011: "One picture can be worth more than a thousand conspiracy theories. For that reason alone the Obama administration should release the grisly photographs of the body of Osama bin Laden, who was slain Sunday in Pakistan during a 40-minute gun battle with Navy SEALs. It is either that or listen to years of sinister speculation that the photos have been withheld to keep the secret that the man who was slain was not bin Laden after all. Already, conspiracy theories are flying around the Internet. If they get out of hand, they’ll make those goofy birther theories look mild and sane by comparison."
pro_1_2	Quick at-sea burial necessitates release of photos as proof.	Quick at-sea burial necessitates release of photos as proof. The quick at-sea burial of Osama bin Laden created some mystery around the event. Burying his body somewhere with some media access would have provided more assurances of his actual death. Therefore, it is especially important to release the photos to provide the assurances that the at-sea burial could not.
pro_1_3	Photos needed to convince non-radical Muslims Osama's dead.	Photos needed to convince non-radical Muslims Osama's dead. Many ordinary Muslims have indicated that they don't believe that Osama Bin Laden is dead. Revealing the photos could help convince them that he is dead.
pro_1_4	Photos would convince doubtful Americans Bin Laden dead.	Photos would convince doubtful Americans Bin Laden dead. Many ordinary Americans, including some of the family members of the 9/11 victims, are doubtful that Osama Bin Laden is dead. These are not crazy people. If they are presented with photo evidence, they will come to accept that his in, in fact, dead.
pro_1_5	Proving Osama's death essential to US national interests.	Proving Osama's death essential to US national interests. US Senator Lindsey Graham: "I know bin Laden is dead. But the best way to protect and defend our interests overseas is to prove that fact to the rest of the world."[1]
pro_1_6	Raid on Osama was about confirming his capture/death.	Raid on Osama was about confirming his capture/death. US Senator Lindsey Graham: "The whole purpose of sending our soldiers into the compound, rather than an aerial bombardment, was to obtain indisputable proof of bin Laden’s death."[2]
pro_1_7	American people deserve confirmation offered by photos	 American people deserve confirmation offered by photos In 2009, photos of the bloodied corpses of Saddam Hussein’s sons, Uday and Qusay, were made public after a U.S. raid on a house in Mosul, Iraq. U.S. Defense Secretary Donald Rumsfeld said the Iraqi people "deserve that confirmation."[3]
con_1_1	Sufficient evidence to prove Osama's death without photos.	Sufficient evidence to prove Osama's death without photos. "Editorial: No good would come from release of photos." Detroit Free Press Editorial. May 5th, 2011: "Serious people do not dispute the authenticity of bin Laden's death. Al-Qaida forces he led know it as a fact; family members in Pakistani custody have reportedly verified, at least in broad outline, the accounts relayed to the American public by Obama and his subordinates. Millions of TV viewers have seen video of crime scene details that are consistent with those accounts, and those who suspect such videos may have been forged are unlikely to find photographs of Obama's remains more conclusive."
con_1_2	Bin Laden photos won't change mind of conspiracy theorists	 Bin Laden photos won't change mind of conspiracy theorists Barack Obama said on May 5th that for anyone who doesn't believe Mr. bin Laden is dead, "we don't think that a photograph in and of itself is going to make any difference."[4]
con_1_3	Most of world is convinced Osama is dead without photos.	Most of world is convinced Osama is dead without photos. "Eight reasons why Obama was right not to release photos of Osama bin Laden's body." CS Monitor Editorial. May 4th, 2011: "Many Al Qaeda supporters won't ever be persuaded that he's dead. Most of the world is already convinced."
con_1_4	With Arab spring, the [Muslim] world is over Al Qaeda.	With Arab spring, the [Muslim] world is over Al Qaeda. "Eight reasons why Obama was right not to release photos of Osama bin Laden's body." CS Monitor Editorial. May 4th, 2011: "With the Arab Spring, the world is moving beyond Al Qaeda quickly. Why parade Osama bin Laden's image before the public even more?"
headline_2	Muslim reaction: Will photos incite Muslim reaction, terrorism?
pro_2_1	Al-Qaeda will see withholding photos as sign of their impact.	Al-Qaeda will see withholding photos as sign of their impact. Why they released the death picture of Saddam but don't dare to release that of Osama's? The only reason is that Iraq is down but Al-Qaeda is still there, so their path of terrorism is effective. It is an encouragement to them. 
pro_2_2	US shouldn't kowtow to sensitivities of extremists	 US shouldn't kowtow to sensitivities of extremists Jack Shafer. "Release the Dead Laden Photos." Slate. May 4, 2011: "Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy."
pro_2_3	Death photos destroy myth of Bin Laden's invulnerability.	Death photos destroy myth of Bin Laden's invulnerability. Eugene Robinson. "Why I would've released the bin Laden photos." The Washington Post. May 4th, 2011: "Because while gory photographs would have inflamed some jihadists and wannabes, I believe they would have disillusioned and deflated others. A heroic myth of invulnerability had been built around bin Laden. He was supposed to have cheated death while fighting the Russians in Afghanistan, walking tall through fields of fire as the bullets somehow missed. He escaped the Americans who cornered him at Tora Bora. He evaded capture for a decade, despite the best efforts of the West’s spies and soldiers. Showing him in death would definitively refute any notion that bin Laden enjoyed some kind of divine protection. The myth would die with the man."
pro_2_4	Photos won't upset extremists more than Laden's death	 Photos won't upset extremists more than Laden's death Wojtek Wolfe, a Rutgers-Camden professor: "I don’t know if it’s really going to make the situation any worse. It will upset some people — but those people are already upset. Winning the War of Words: Selling the War on Terror from Afghanistan to Iraq."[5]
pro_2_5	Bin Laden death photos send warning to US enemies.	Bin Laden death photos send warning to US enemies. Sarah Palin wrote on her Twitter account: "Show photo as warning to others seeking America's destruction," she writes. "No pussy-footing around, no politicking, no drama;it's part of the mission."[7]
pro_2_6	Bin Laden death photos may deter would-be terrorists.	Bin Laden death photos may deter would-be terrorists. Harold Evans. "Obama Was Right to Censor the Osama bin Laden Photo." The Daily Beast. May 5th, 2011: "[Releasing the photos] could deter would-be jihadists, who would have to think a little harder when they see the bloodied bodies of Osama's men killed in the firefight in his hideaway, photos obtained by Reuters from a Pakistani security officer and rightly released on Wednesday."
pro_2_7	Concealing Bin Laden photos ascribes them magical powers.	Concealing Bin Laden photos ascribes them magical powers. Barbie Zelizer, author of the recent book About To Die: How News Images Move the Public, says concealing the photos ascribes them "magical powers" that wouldn't otherwise exist.[8]
pro_2_8	Death photos reveal Bin Laden as monster he was.	Death photos reveal Bin Laden as monster he was. Eugene Robinson. "Why I would've released the bin Laden photos." The Washington Post. May 4th, 2011: "The reason to display the photos is to show bin Laden for what he really was: not a holy warrior, not a holy anything, but a deluded mass murderer who met the end he so richly deserved."
pro_2_9	National security secrets not at risk in releasing photos.	National security secrets not at risk in releasing photos. "Openness: Obama should release bloody pictures." Boston Globe Editorial. May 5th, 2011: "If national-security secrets were revealed in the photos, the equation would be different. But that’s not the case with a single image of the terrorist leader’s dead body."
con_2_1	Releasing Bin Laden photos would inflame Muslim world	 Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: "There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory."[9]
con_2_2	Osama photos could become icons for rallying extremists	 Osama photos could become icons for rallying extremists Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program “60 Minutes,” saying U.S. officials did not want to give extremist groups the ability to use the photos as “propaganda tools.” He tells 60 Minutes: “I think Americans and people around the world are glad that he is gone. But we don’t need to spike the football.”[10]
con_2_3	Bin Laden photo could be seen as insensitive trophies	 Bin Laden photo could be seen as insensitive trophies President Obama said about his decision not to release the photos: "That's not who we are. We don't trot this stuff out as trophies."[11] 
con_2_4	No Middle East allies thought photos would be in their interests.	No Middle East allies thought photos would be in their interests. Secretary of State Hillary Rodham Clinton consulted with allies in the Middle East and reported that none thought the release of the photos would be in their interests.[12]
con_2_5	Osama photos likely to provoke violence at US embassies.	Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas. This is because the Muslim world might look askance at a desecrated dead body, even if it was Osama bin Laden's.[13]
con_2_6	Releasing Bin Laden photos is a national security risk.	Releasing Bin Laden photos is a national security risk. For all of the above reasons, and others, releasing the Bin Laden photos is a national security risk. 
con_2_7	Osama photos could put US troops at even greater risk.	Osama photos could put US troops at even greater risk. Rep. Mike Rogers, R-Mich., the chairman of the House Intelligence panel, opposes making the photos public, saying he doesn't want the images to "make the job of our troops serving in places like Iraq and Afghanistan any harder than it already is. The risks of release outweigh the benefits."[14]
con_2_8	Upside of photos insufficient to counter inflammation.	Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures "would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do."[15]
con_2_9	Photos of dead bodies offends many Muslims.	Photos of dead bodies offends many Muslims. Some may view an image of a dead body as a violation of the sect’s customs. "Historically speaking, they don’t like photos being taken," said Shaheen Ayubi, an international politics professor at Rutgers-Camden.[16]
con_2_10	Gloating with photos will cheapen achievement of killing Osama.	Gloating with photos will cheapen achievement of killing Osama. "Editorial: No good would come from release of photos." Detroit Free Press Editorial. May 5th, 2011: "White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement."
