title	No-fly zone over Libya
question	Is a no fly zone over Libya a good idea?
headline_1	Feasibility: Is a no-fly zone feasible within reason?
pro_1_1	Imposing a no-fly zone on Libya is easily achievable.	Imposing a no-fly zone on Libya is easily achievable. General McPeak said to New York Times columnist Nicholas Kristof in March of 2011: "I can’t imagine an easier military problem. If we can’t impose a no-fly zone over a not even third-rate military power like Libya, then we ought to take a hell of a lot of our military budget and spend it on something usable. Just flying a few jets across the top of the friendlies would probably be enough to ground the Libyan Air Force, which is the objective."[1]
pro_1_2	US has support from Muslim world for no fly zone.	US has support from Muslim world for no fly zone. John Kerry. "A no fly zone for Libya." Washington Post. March 11th, 2011: "So our diplomatic efforts must extend beyond the United Nations. The support of NATO and the African Union are important. To avoid the perception of NATO or the United States attacking another Muslim country, we need the backing of the Arab world. On that front, there are promising signs. The six Arab countries of the Gulf Cooperation Council have called for a U.N.-imposed no-fly zone. The Arab League may consider a similar proposal on Saturday. Muslim nations in particular should support preparations for intervention if the violence spirals out of control."
con_1_1	Hard to implement no fly zone over large territory like Libya.	Hard to implement no fly zone over large territory like Libya. Edward Rees. "The Case Against a No-Fly Zone in Libya." The Atlantic. February 28th, 2010: "Libya is a large country and violence has been reported over a vast area, but the greater an area of enforcement, the more difficult an NFZ becomes and the less likely to be effective. The Bosnian NFZ was conducted over a small airspace just 51,000 square miles, and even the Iraq cases were larger at approximately 100,000 square miles. A proposed NFZ over Darfur was mooted in part because the region, at 550,000 square miles, is simply too big."
con_1_2	No-fly zone over Libya requires scarce aircraft carrier.	No-fly zone over Libya requires scarce aircraft carrier. Edward Rees. "The Case Against a No-Fly Zone in Libya." The Atlantic. February 28th, 2010: "Unlike in Iraq and Bosnia, there are no obvious air bases near Libya from which to impose an NFZ, so the aircraft would likely have to be based on aircraft carrier. But it's not clear that the U.S., or even NATO, has that kind of capacity to spare. Using European bases would require many more aircraft as the greater distance severely limits the amount of time each plane could actually spend over Libya." 
headline_2	Impact: Would a no-fly zone have a significant impact on conflict?
pro_2_1	No-fly zone would significantly benefit Libyan rebels	 No-fly zone would significantly benefit Libyan rebels General McPeak said to New York Times columnist Nicholas Kristof in March of 2011: "I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact."[2]
pro_2_2	Libyans cannot oust Gaddafi on their own	 Libyans cannot oust Gaddafi on their own 
pro_2_3	No-fly zone undermines main Libyan regime advantage: airpower.	No-fly zone undermines main Libyan regime advantage: airpower. The International Institute for Strategic Studies, an arms analysis group in London noted in March 2011: "The major advantage of the pro-regime forces at the moment is their ability to deploy air power."[3]
pro_2_4	No fly zone in Libya prevents a massacre	 No fly zone in Libya prevents a massacre 
pro_2_5	Air transport is dynamically important; no-fly zone effective.	Air transport is dynamically important; no-fly zone effective. "The military balance." The Economist. March 3rd, 2011: "Tribal militiamen, ferried by air from the Sahara, were deployed on the streets of Tripoli on February 21st and bloodily put down resistance there. A few days later, air transport was crucial again to Colonel Qaddafi’s plan to recapture coastal towns close to Tripoli from rebel hands."
pro_2_6	Aircraft could also be used to jam Libyan regime communications.	Aircraft could also be used to jam Libyan regime communications. Nicholas Kristof. "The case for a no-fly zone." The New York Times. March 9th, 2011: "Along with a no-fly zone, another important step would be to use American military aircraft to jam Libyan state television and radio propaganda and Libyan military communications. General McPeak said such jamming would be 'dead easy.'"
pro_2_7	Helping rebels in Libya is of great strategic value.	Helping rebels in Libya is of great strategic value. Paddy Ashdown. "It is time for Europe to back a no-fly zone in Libya." Financial Times. March 13th, 2011: "Libya is not our backyard. But what happens there and in the other countries of the Maghreb matters to us Europeans very much. If those who have overturned dictatorships in Tunisia and Egypt (and hopefully Libya) in this “Arab spring” can create effective, broadly secular democratic republics on the model of Turkey, Europe’s crucial relationship with its southern (and oil-providing) neighbours will be fundamentally altered to the advantage of both. If they fail, then dictatorships will inevitably follow – and very likely extremist Islamist ones. The nature of our neighbourhood is being decided on the dusty streets of Libya’s towns and that matters to us very much indeed."
pro_2_8	Libyan rebels want a no-fly zone.	Libyan rebels want a no-fly zone. Rebel fighter Ali Suleiman said on March 7th, 2011: "We don't want a foreign military intervention, but we do want a no-fly zone." Suleiman said the rebels can take on "the rockets and the tanks, but not Gadhafi's air force."[4]
pro_2_9	Show of resolve with no-fly zone could change things.	Show of resolve with no-fly zone could change things. http://www.guardian.co.uk/world/2011/mar/15/no-fly-zone-over-libya  "A no-fly zone over Libya? The case for and against." The Guardian. March 15th, 2011: "A show of international resolve would give encouragement to waverers in the pro-government ranks and could persuade the Libyan despot to negotiate his departure."
con_2_1	Libyan rebels can succeed without no-fly zone.	Libyan rebels can succeed without no-fly zone. Daniel Larison. "Why a no-fly zone for Libya is a bad idea." The Week. March 1st, 2011: "The excessive violence against protesters by Muammar Gaddafi's forces, including the use of air power against civilians, has triggered the rebellion of much of the country and the defection of many military officers to the side of the rebels. Libyan rebels now control the majority of the country, Gaddafi has limited control outside of the capital and his tribal stronghold of Sirt, and most of the military has not committed itself to Gaddafi's defense. Given time, the rebels seem poised to overthrow Gaddafi without outside help." 
con_2_2	No-fly zone will not help the Libyan rebels much	 No-fly zone will not help the Libyan rebels much 
con_2_3	No fly zones have a history of limited effectiveness.	No fly zones have a history of limited effectiveness. Edward Rees. "The Case Against a No-Fly Zone in Libya." The Atlantic. February 28th, 2010: "NFZs are not a frequently used tool in the international community's array of potential response mechanisms to internal violence. This is because they only address a symptom of conflict rather than the cause, are complicated to implement, have historically had middling results, and can draw states further into conflict rather than resolving them. NFZs have been implemented in only a few cases in the last twenty years. During the Bosnian war, Operation Deny Flight (March 1993 to December 1995) and Operation Deliberate Force (August to September 1995) were imposed over the war zone. Designed to deny the Serbian air force the ability to deploy airpower, these NFZs did little to stop the worst abuses of that conflict, including the infamous Srebrenica massacre among other atrocities. Intra-state conflicts, as in Libya today, are ultimately conducted on the ground. The Serbs only came to the negotiating table once the land power balance shifted against them. Certainly NFZs contributed to this, but were not the determining factor. Armies cannot be defeated by air forces alone."
con_2_4	No-fly zone supports rebels, whose intentions we don't know.	No-fly zone supports rebels, whose intentions we don't know. Daniel Larison. "Why a no-fly zone for Libya is a bad idea." The Week. March 1st, 2011: "this would mean actively siding with rebels whose goals other than overthrowing Gaddafi we don't know." 
con_2_5	Iraq and Kosovo no-fly zones weren't really successes.	Iraq and Kosovo no-fly zones weren't really successes. Daniel Larison. "Why a no-fly zone for Libya is a bad idea." The Week. March 1st, 2011: "We should remember that the no-fly zones in Iraq devolved into a decade-long air war that paved the way for the later invasion of Iraq, and the Kosovo intervention brought an end to Serbian control of the province only to deliver it into the hands of a criminal gang in the Kosovo Liberation Army." 
con_2_6	No-fly zone wouldn't prevent most atrocities	No-fly zone wouldn't prevent most atrocities Leslie Gelb. "Don't use US force in Libya!" The Daily Beast. March 8th, 2011: "...U.S. jets high up in the sky still wouldn't be able, in most cases, to spot Libyan helicopter attacks at much lower altitudes and destroy them. Since these helicopters are doing the most damage now, what would the interventionists advocate at that point?"
con_2_7	No-fly zone would taint Libyan revolution with Western influence.	No-fly zone would taint Libyan revolution with Western influence. "A no-fly zone over Libya? The case for and against." The Guardian. March 15th, 2011: "A no-fly zone would taint not just the Libyan rebels, but the whole Arab pro-democracy movement, as western stooges, sapping the uprising of its home-grown vitality. The Arab League vote in favour represented the region's elites. The "Arab street" would be far more hostile to western intervention, especially if civilians were harmed. Al-Qaida could exploit the consequent turmoil to present itself as the defender of Arab sovereignty and pride."
headline_3	Risks: Are the risks involved tolerable?
pro_3_1	No-fly zone offers low-cost, low-risk support to rebels.	No-fly zone offers low-cost, low-risk support to rebels. Daniel Larison. "Why a no-fly zone for Libya is a bad idea." The Week. March 1st, 2011: "The political advantage of calling for a no-fly zone is that it maintains the pretense of not becoming directly involved in the conflict while still favoring the rebels." 
pro_3_2	Shirking no-fly zone undermines integrity of US values.	Shirking no-fly zone undermines integrity of US values. Senator John Kerry: "I don’t think it's particularly constructive for our long-term strategic interests, as well as for our values, to say Qaddafi has to go. and then allow a delusional, megalomaniacal, out-of-touch leader to use mercenaries to kill his people."[5]
pro_3_3	Doing nothing is to be complicit with Gaddafi regime.	Doing nothing is to be complicit with Gaddafi regime. ' Paddy Ashdown. "It is time for Europe to back a no-fly zone in Libya." Financial Times. March 13th, 2011: "The indiscriminate use of overwhelming force against his people by Muammer Gaddafi – in flagrant contravention of his international obligation to protect them – is now having an effect. To do nothing is to acquiesce to the crushing of a people, which will almost certainly be accompanied – if it has not been already – by horrors that amount to crimes against humanity."
pro_3_4	Risk of no-fly zone smaller than of inaction in Libya	 Risk of no-fly zone smaller than of inaction in Libya 
pro_3_5	No-fly zone helps limit refugees from Libyan crisis	 No-fly zone helps limit refugees from Libyan crisis
con_3_1	No fly zone risks downing and capturing of pilots.	No fly zone risks downing and capturing of pilots. George Will. "On Libya, too many questions." Washington Post. March 8th, 2011: "The Economist reports Gadhafi has “a huge arsenal of Russian surface-to-air missiles” and that some experts think Libya has SAMs that could threaten U.S. or allies’ aircraft. If a pilot is downed and captured, are we ready for the hostage drama?"
con_3_2	Libya no fly zone could turn into Somalia disaster.	Libya no fly zone could turn into Somalia disaster. George Will. "On Libya, too many questions." Washington Post. March 8th, 2011: "Secretary of State Hillary Clinton fears Libya becoming a failed state — “a giant Somalia.” Speaking of which, have we not seen a cautionary movie — “Black Hawk Down” — about how humanitarian military interventions can take nasty turns?"
con_3_3	No-fly zone is open-ended commitment to police Libyan airspace.	No-fly zone is open-ended commitment to police Libyan airspace. Daniel Larison. "Why a no-fly zone for Libya is a bad idea." The Week. March 1st, 2011: "there shouldn’t be any illusions about what this policy would mean. It would involve a significant commitment of already-limited military resources to an open-ended policing of Libyan airspace."
