title	Carbon capture and storage
question	Is carbon capture good technology and investment?
headline_1	Efficacy: Can carbon capture and storage be effective?
pro_1_1	CCS can dramatically slash emissions from fossil fuels	 CCS can dramatically slash emissions from fossil fuels George Monbiot, Visiting Professor of Planning at Oxford Brookes University, wrote in his 2007 book Heat: How to Stop the Planet from Burning: "[E]ven if we continued to produce most of our electricity from burning fossil fuels, we could, at least in theory, cut carbon emissions by 80 or 85 percent.  The technology that would make this possible is called 'carbon capture and storage. This means stripping the carbon out of the fuel either before or after it is burnt, and burying it in the hope that it will stay where it's put."[1]
pro_1_2	CCS makes continued dependence on hydrocarbons cleaner	 CCS makes continued dependence on hydrocarbons cleaner Jon Gluyas is chair in geoenergy at Durham Energy Institute, University of Durham, UK; Susie Daniels is at Geospatial Research in the university's department of earth sciences. "Do we really need carbon capture and storage? Yes, CCS is sensible and necessary" RSC. September 2010: "Action is urgently required but what can we do now which will allow business to continue as reliably as usual - increase wind power 40 fold, increase solar power 700 fold while simultaneously reducing dependency on coal by a similar amount and halving the fuel consumption of two billion cars? Of course we must improve the efficiency of our energy consumption as well as further developing solar, wind, wave and other renewable power sources, not to forget significantly reducing deforestation. But will fossil fuels cease to be used in the short or even medium term? No, fossil fuels are just too easy to use. The physical, social and legislative infrastructures are well established. The energy concentration is too dense for an energy hungry world to ignore, even if finding new deposits of light oil (and gas) is getting ever more difficult. We accept that a sustainable future demands that we switch to renewable energy sources as fast as possible. In the meantime CCS provides a way to minimise emissions of greenhouse gases."
pro_1_3	Burning biofuels and burying emissions can lower atmospheric C02	 Burning biofuels and burying emissions can lower atmospheric C02 David Biello. "All-out geoengineering still would not stop sea level rise." Scientific American. August 23rd, 2010: "Perhaps the only way to reduce warming enough to minimize the rise of the oceans is an all-out effort that also includes burning biomass as fuel (either to replace coal or gasoline or both) and pairing it with CO2 capture and storage. Together, they could suck down greenhouse gas levels by 180 ppm—more than enough to bring us below pre-industrial levels. As a result, sea level rise is held to just 10 centimers by 2100, according to the author's modeling."
pro_1_4	CCS can be widely deployed on existing, huge energy sources	 CCS can be widely deployed on existing, huge energy sources George Monbiot, Visiting Professor of Planning at Oxford Brookes University, wrote in his 2007 book Heat: How to Stop the Planet from Burning: "I have come to believe that this technology... can, with sufficient political commitment, be widely deployed before 2030."[2]  
pro_1_5	Carbon capture and sequestration is one part of larger climate fight	 Carbon capture and sequestration is one part of larger climate fight George Monbiot, Visiting Professor of Planning at Oxford Brookes University, wrote in his 2007 book Heat: How to Stop the Planet from Burning: "The difficulties I have encountered with investigating the other [low-carbon] technologies have persuaded me that carbon capture and storage - while it cannot provide the whole answer - can and must be one of the means we use to make low-carbon electricity."
pro_1_6	CCS is valuable even if years away	 CCS is valuable even if years away Hannah Chalmers and Jon Gibbins. "Carbon capture and storage: More energy or less carbon?" AIP Journal of Renewable and Sustainable Energy. June 30th, 2010: "To make CCS available as a reasonably well-proven option by around 2020, a first tranche of demonstration plants need to be deployed as quickly as possible. A second, larger tranche of reference plants then needs to continue the learning process and demonstrate the technology at scale and ready for multiple repeat orders. After this second tranche, CCS should be ready to contribute to a rapid decarbonization of the electricity supply from coal, natural gas, and biomass power plants in developed countries in the decade 2020–2030."
pro_1_7	CCS can be used to draw carbon directly from air.	CCS can be used to draw carbon directly from air. A few engineering proposals have been made for the more difficult task of capturing CO2 directly from the air, but work in this area is still in its infancy. Global Research Technologies demonstrated a pre-prototype in 2007.[11] Capture costs are estimated to be higher than from point sources, but may be feasible for dealing with emissions from diffuse sources like automobiles and aircraft. The theoretically required energy for air capture is only slightly more than for capture from point sources. The additional costs come from the devices that use the natural air flow. Removing CO2 from the atmosphere is a form of geoengineering by greenhouse gas remediation.[3]
pro_1_8	Sequestered carbon can be stored at ocean floor.	Sequestered carbon can be stored at ocean floor. Ocean storage Another proposed form of carbon storage is in the oceans. Several concepts have been proposed: 'dissolution' injects CO2 by ship or pipeline into the water column at depths of 1000 m or more, and the CO2 subsequently dissolves. 'lake' deposits CO2 directly onto the sea floor at depths greater than 3000 m, where CO2 is denser than water and is expected to form a 'lake' that would delay dissolution of CO2 into the environment. convert the CO2 to bicarbonates (using limestone) Store the CO2 in solid clathrate hydrates already existing on the ocean floor, or growing more solid clathrate.
pro_1_9	CCS can ensure that buried carbon will stay there	 CCS can ensure that buried carbon will stay there George Monbiot, Visiting Professor of Planning at Oxford Brookes University, wrote in his 2007 book Heat: How to Stop the Planet from Burning: "There are good reasons to suppose that once carbon dioxide has been properly buried in the right sites, it will stay where it is put."[4]
pro_1_10	General statements in favor of carbon capture and storage	 General statements in favor of carbon capture and storage David Hawkins, director of the climate center at the Natural Resources Defense Council (NRDC): "The reason that we believe CCS is a critically important part of the toolbox is there's a huge gap between what can technically do and what we are doing, and part of that is politics."[5]
