title	Capitalism vs socialism
question	Which is the superior system, capitalism or socialism?
headline_1	Broader philosophies: What are the opposing philosophies of each system?
pro_1_1	Socialism run by central bureaucracy, not the people	 Socialism run by central bureaucracy, not "the people" Michael Telzrow. "Socialism's broken promises." New American. December 25th, 2008: "In truth, the working classes had much to lose under socialism, and for later generations the shackles of communism would weigh heavy; for in practice, a central person or group had to control the redistribution of the wealth, and under communism power was concentrated for the benefit of the few at the controls — at the expense of the masses, no matter the harm and the suffering visited upon the masses."
pro_1_2	Socialism over-trusts government bureaucrats	 Socialism over-trusts government bureaucrats Milton Friedman: "Concentrated power is not rendered harmless by the good intentions of those who create it. [...] The power to do good is also the power to do harm."[1]
pro_1_3	In capitalism, society is rightly ruled by individuals.	In capitalism, society is rightly ruled by individuals. Only a given individual can assess what is to his benefit or detriment. Capitalism places responsibility for an individual's prosperity in his own hands.  Socialism attempts to determine an aggrigate good defined as "the good of the collective" and apply that one "shoe" to all "feet".
pro_1_4	Capitalism is about individuals collaborating to supply needs.	Capitalism is about individuals collaborating to supply needs. On the most basic level, capitalism allows individuals to organize and work together to supply services and goods that have value in communities, meet needs, and for which other citizens are willing to spend their money on to benefit from. There is no exploitation involved at this most fundamental level. 
pro_1_5	No transaction happens in capitalism unless both parties benefit	 No transaction happens in capitalism unless both parties benefit Milton Friedman: "The most important single central fact about a free market is that no exchange takes place unless both parties benefit."[2] 
pro_1_6	Focusing on large corporation distracts from fundamentals of capitalism.	Focusing on large corporation distracts from fundamentals of capitalism. Capitalism is not about enriching large and powerful corporations. It was originally and remains largely about small groups of individuals in communities working together to supply collective needs. Critics who talk about big corporations in capitalism typically ignore the fact that the vast majority of businesses are small, community-based ones, and ones in which eye-popping profits are not made. Most businesses are just community stores and organizations that pay reasonable wages and that communities would sorely miss.
pro_1_7	Capitalism allows for greater personal fulfillment.	Capitalism allows for greater personal fulfillment. Socialism presents a "mob rule" where the collective (or whomever controls the government) outweighs any decisions made by individuals concerning their own lives.  Individual "needs" are dictated  by the state and so niche markets are prevented from forming.  This causes a lack of innovation and social progress because major trends and even fundamental changes in society and technology start in niche markets with very specific needs that would not be considered "efficient" for the state to provide.
con_1_1	In socialist systems, society is ruled by the collective people.	In socialist systems, society is ruled by the collective people. Under socialism, society is ruled by individuals collectively working together toward a common purpose to enhance the collective good. Socialism also promotes democracy, self-management, solidarity, equity and other positive social benefits as well as greatly increases prosperity and equality (see the section on decision-making for more detail). This compares favorably to capitalism, where society is ruled by corporations and their pursuit of profit and power. 
con_1_2	Capitalism does not guarantee societies needs.	Capitalism does not guarantee societies needs. This is because social costs, and everything that affects third parties in a transaction, are externalised (see discussion of market prices later in debate). This means that social needs and costs are not reflected in pricing. As a result of this, the needs of society are ignored in capitalist society unless they are profitable - which they usually aren't due to the externalisation of social cost. The pursuit of profit, that is necessary under capitalism, also promotes anti-social behaviour, punishes solidarity and means that all winning takes place at the expense of other. For more analysis of this see Economic Justice and Democracy by Robin Hahnel.
con_1_3	In capitalism, businesses must put profit before everything else.	 In capitalism, businesses must put profit before everything else. In a system (capitalism) with a built in need for growth and expansion (on every level) based on profit and on a level of competition such that every company that fails to achieve a level of growth and expansion on par with its competitors will go out of business, it is entirely intuitive that businesses can ONLY be about making profit and expanding - everything else is secondary to that goal. This is especially compounded by the fact that social costs are excluded from prices in capitalism (since they affect third parties) and so creating negative social costs is (practically) free and thus better for profit, while creating positive social costs or dealing with negative social costs is expensive and thus detracts from profits, and thus expansion and growth. In fact, corporations (the dominant business institution in modern capitalism) were designed (very consciously) to this end and that corporations must put profit before everything else is written into law! (information and evidence of this is given in the extended argument page). Information on the causes and effects of capitalism's need for profit to come first is scattered around this debate (you can easily find it), but particularly relevant for the effects are the discussions on how capitalism fosters imperialism, how profit is made through exploitation, the relationship between capitalism, militarism and war, and on the destruction of the ecosystem.
con_1_4	In capitalism, profit is made through exploitation	 In capitalism, profit is made through exploitation. There are many ways that exploitation is used bring profit in capitalism. The first is through the exploitation of the workers by the capitalist class. This was first described in Capital by Karl Marx and has yet to be disproved. Infoshop (an anarchist information website) describes this process (the extraction of surplus value from workers) quite succinctly: "Under capitalism, workers not only create sufficient value (i.e. produced commodities) to maintain existing capital and their own existence, they also produce a surplus. This surplus expresses itself as a surplus of goods and services, i.e. an excess of commodities compared to the number a workers' wages could buy back. The wealth of the capitalists, in other words, is due to them "accumulating the product of the labour of others."" (Quote is from Kropotkin.) A second way is through the subjugation of people and societies on the peripheries in order to extract wealth from them (see the extended argument on imperialism in the history section). An excellent overview of exploitation in capitalism and its causes can be found here and more detail can be found in Historical Capitalism with Capitalist Civilization by Immanuel Wallerstein, and other more, detailed work, by Wallerstein.
con_1_5	Capitalism is not ruled by individual, but corporations	 Capitalism is not ruled by individual, but corporations Corporations are totalitarian structures and are completely unaccountable to the public. Capitalism was designed around the interests of corporations, after they were designed by monarchs so they could keep their power over the rising middle-class and make money just by virtue of having money. Far from being ruled by individuals, capitalism is ruled by corporations who must, by design, continue to expand and make a profit, no matter how harmful this is to the individuals in society. And capitalism has always been ruled by corporations, to the point that they have become the defining feature of the capitalist ruling class. See here and here for explanation and analysis of how big corporations come to dominate capitalism and the effects on society as a result of it.
