title	Death penalty
question	Is the death penalty justified?
headline_1	Justice/desert: Are executions sometimes required to uphold justice/due desert?
pro_1_1	The death penalty is proportional punishment/due desert for murder	 The death penalty is proportional punishment/due desert for murder US Supreme Court Justice Potter Stewart, Majority opinion in 7-2 ruling that the death penalty is a constitutionally acceptable form of punishment for premeditated murder. 2 Jul. 1976. - "We are concerned here only with the imposition of capital punishment for the crime of murder, and when a life has been taken deliberately by the offender, we cannot say that the punishment is invariably disproportionate to the crime. It is an extreme sanction suitable to the most extreme of crimes."[1]
pro_1_2	Executions respond appropriately to the most heinous crimes	 Executions respond appropriately to the most heinous crimes Michael D. Bradbury, Ventura County District Attorney. "The Death Penalty is an Affirmation of the Sanctity of Life". LA Times. - A two and a half-year-old girl was kidnapped, raped, sodomized, tortured and mutilated with vise grips over six hours. Then she was strangled to death. Her assailant, Theodore Frank, according to court records and his own admissions, had already molested more than 100 children during a 20-year period. A sentence of death is the only appropriate punishment for such a serial assailant committing such an extraordinarily heinous crime."
pro_1_3	Innocent life must be valued over that of a murderer	Innocent life must be valued over that of a murderer.
pro_1_4	Executions help society express horror and abhorrence of murder	 Executions help society express horror and abhorrence of murder Don Feder, Boston Herald Columnist. "McVeigh Makes the Case for Capital Punishment". 21 May 2001 - "Executing a murderer is the only way to adequately express our horror at the taking of an innocent life. Nothing else suffices...A murderer sentenced to life in prison without the possibility of parole can still laugh, learn and love, listen to music and read, form friendships, and do the thousand-and-one things (mundane and sublime) forever foreclosed to his victims."
pro_1_5	Life imprisonment does not repudiate murder like capital punishment	 Life imprisonment does not repudiate murder like capital punishment Jeff Jacoby, Boston Globe Columnist. "The feeble 'arguments' against capital punishment". Jewish World Review. 19 June 2001 - "'The loss of freedom for the remainder of one's life is no mild punishment,' James Bernstein of New York wrote to the Times. 'We do not need the death penalty to express society's utter repudation of those who would take the lives of others.'
pro_1_6	Death penalty addresses crimes where victim can never be compensated	 Death penalty addresses crimes where victim can never be compensated Steven Farrell. "A Conservative Case for the Capital Punishment". 18 Mar. 2005 - "If one robs a store, the captured thief can pay back the debt and, in fact, under biblical law (which is better than today's law) would be tasked to work for the man he robbed until the debt was satisfied seven times the value of the goods stolen. With such a bounteous payback, the thief is then freed and, by his honorable labor, restored to a position of trust..." Farrell continues that murder is not a repayable crime, that society can never again trust that person again, and that the person, therefore, permanently forfeits all rights as a citizen, including the right to life.
pro_1_7	Executing killers is not comparable to raping rapists	 Executing killers is not comparable to raping rapists "The Death Penalty: Morally Defensible?". Casey's Critical Thinking - "Abolitionists often insist that if we argue for lex talion justice we must be prepared to rape rapists, beat sadists, and burn down the houses of arsonists...Why then, if it is not morally okay to rape rapists, is it acceptable to execute murderers? The answer is simple. There is no redeeming value to carrying out the former punishment. Raping the rapist will only cause someone else to degrade themselves by doing it. It will not prevent the rapist from raping again. Executing murderers, however, prevents them from committing their crime again, and thus protects innocent victims. The good, therefore, outweighs the bad, and the executioner is morally justified in taking the murderer's life."[2]
pro_1_8	The death penalty is about punishment/due desert, not vengeance	 The death penalty is about punishment/due desert, not vengeance David Gelernter. "What do Murderers Deserve?". Commentary Magazine. March/April 1999 - "Opponents of capital punishment describe it as a surrender to emotions--to grief, rage, fear, blood lust. For most supporters of the death penalty, this is false. Even when we resolve in principle to go ahead, we have to steel ourselves. Many of us would find it hard to kill a dog, much less a man. Endorsing capital punishment means not that we yield to our emotions but that we overcome them. If we favor executing murderers, it is not because we want to but because, however much we do not want to, we consider ourselves obliged to."
con_1_1	Eternal torture worse than clean break	Eternal torture worse than clean break Imagine this room. It's a dirty, unkept room, with cockroaches and rats looking for bits of food. The people living near you are ready to kill, rape, and hurt you. The food is horrible. You feel terror in the night when you hear someone being beaten up. Now, this is life imprisonment, and you have to live this way until the rest of your life. Now, the death penalty. It's a clean break, where you are shown in TV, have a conjugal visit, have an expensive, delicious last meal, then you are painlessly killed by lethal injection. It's humane and painless. Now, compare these two punishments. Life imprisonment is certainly worse than death penalty. Life imprisonment is the same as torture, while in the death penalty, you get a clean, painless break wihtout having remorse for your crimes. Plus you shouldn't have committed a murder if your life is perfect. If you got a happy family and people that care about, you shouldn't even be thinking about murdering someone unless you have a reason for wanting life imprisonment, or the death penalty. A perfect life is when you have people who love you and you love them back. One of the many reason someone might chose to do something against the law is because they are after money, too much money.
con_1_2	Life in prison is a sufficient punishment; execution is excessive	 Life in prison is a sufficient punishment; execution is excessive James Bernstein. "The Death of McVeigh: A Time to Reflect". Letter to the New York Times. June 13, 2001 - "The loss of freedom for the remainder of one's life is no mild punishment. We do not need the death penalty to express society's utter repudation of those who would take the lives of others."
con_1_3	Life in prison is a greater punishment than the death penalty	 Life in prison is a greater punishment than the death penalty If the goal is to punish a person as severely as possible, life without parole can be seen as meeting this objective better than capital punishment. The reason is that life without parole forces a murderer to live out their remorseful life, whereas capital punishment saves them from living it. This is why many people on death row express feelings of relief about being put to death.
con_1_4	The punishment principle of an eye for an eye is debunked	 The punishment principle of an "eye for an eye" is debunked Steve Kangas. "Myth: Murderers deserve death." The Long FAQ on Liberalism. - "Fact: Only God or an omniscient being could determine that; Jesus argued against "an eye for an eye.". Summary. Almost all societies have dispensed with the principle of "an eye for an eye," and considered it a step toward more enlightened civilization. Christians who cite "an eye for an eye" in their defense of the death penalty are usually unaware of the strict criteria that God imposed before it could be used to take human life. The Old Testament also allowed the death penalty for crimes that today we consider less than misdemeanors -- clearly, the Old Testament law is archaic. Finally, Jesus himself argued against the principle of "an eye for an eye."
con_1_5	Proportional justice risks justifying extreme punishment such as torture	 Proportional justice risks justifying extreme punishment such as torture If the death penalty is considered a "proportional" punishment for someone who commits 1 murder, wouldn't we need a harsher sentence for a person that tortures and murders 10 people? If proportionality is the model, we  might have to torture criminals in order to exert sufficient punishment. Therefore, the inherent flaw in a concept of justice based on "proportionality" is that it has no limits, creating a slippery slope to torture in the name of justice.
con_1_6	The death penalty is merely a vehicle for vengeance	 The death penalty is merely a vehicle for vengeance Harry Lee Anstead, Florida Supreme Court Justice, dissenting from a ruling that upheld the constitutionality of the electric chair. St. Petersburg Times. 26 Sept. 1999 - "Our justice system is not simply an instrument of vengeance, despite the connotation to that effect contained in the extreme rhetoric that sometimes surrounds the constitutional debate over continuing use of the electric chair."[3]
con_1_7	Murderers might deserve death, but decency requires mercy	 Murderers might "deserve" death, but decency requires mercy George N. Boyd, professor of religion at Trinity University. "Capital Punishment: Deserved and Wrong". The Christian Century. February 17, 1988 - "Opponents of the death penalty should be emphatic that relative to what is 'deserved' -- that is, to what those who have committed murder have reason to claim from their society -- there are many who 'deserve' to die. Indeed there must also be many who similarly 'deserve' that penalty among those who receive lesser sentences (as also among other guilty persons who are never apprehended or are not convicted). Indeed, there are some for whom legal execution is much better than what they 'deserve.' If the rhetoric rings a bit harsh to anti-capital punishment sensibilities, it is not designed for preaching to the converted. Somehow it must be conveyed that the capital punishment debate is not about what murderers deserve, but rather about how society should express and defend its fundamental values."
con_1_8	Killing is never justified; the death penalty is no exception	Killing is never justified; the death penalty is no exception.
con_1_9	The death penalty does not advance any social objective	 The death penalty does not advance any social objective P. N. Bhagwati, former Chief Justice of India. - "Death penalty does not serve any social purpose or advance any Constitutional value"[4]
headline_2	Compassion: Does capital punishment demonstrate compassion and decency?
pro_2_1	Capital punishment is compassionate to the victims	 Capital punishment is compassionate to the victims Jeff Jacoby, Boston Globe Columnist. "The Unjust Logic of Sparing Murderers". August 1998 - "It is up to the law to speak for all grief-stricken survivors confronted with the butchery of someone near and dear. Capital punishment says to them: We, the community, take your loss with the utmost seriousness."
pro_2_2	The executed are not deprived of everything; they keep their souls.	The executed are not deprived of everything; they keep their souls. Capital punishment could only be the severest and most horrific punishment if it was able to deprive the executed of their souls and their after lives. But, it only deprives them of their bodies and lives on earth.
pro_2_3	Capital punishment best prepares an evil soul for the after life	 Capital punishment best prepares an evil soul for the after life Some argue that capital punishment is something like a spiritual medicine in the sense that it saves a man's soul from an evil life on earth. That is, capital punishment prevents a man from committing additional crimes and sins on earth, and so saves them from further damnation in the afterlife.
pro_2_4	The death penalty best fosters repentance	 The death penalty best fosters repentance Pro Death Penalty Webpage - "Death can actually be a peaceful and spiritually enlightening experience. Victims rights activist group 'Justice for All' presents an excellent example of my meaning below: 'The movie Dead Man Walking demonstrates a very good example of how just punishment and Jesus' message of love and redemption can work together: Had rapist/murderer Matthew Poncelet not been properly sentenced to death by the civil authority, he would not have met Sister Prejean, he would not have taken responsibility for his crimes and he would not have reconciled with God. Had Poncelet never been caught or had he only been given a prison sentence, his character makes it very clear that those elements would not have come together. Indeed, for the entire film and up until those last moments, prior to his execution, Poncelet was not fully truthful with Sister Prejean. His lying and manipulative nature was fully exposed at that crucial time. It was not at all surprising, then, that it was just prior to his execution that all of the spiritual elements have come together for his salvation, something no prison sentence is able to do. It was now, or never. Truly, it was his pending execution which finally led to his repentance. For Christians, the most crucial concerns of Dead Man Walking must be and are redemption and eternal salvation. And, for that reason, it may well be, for Christians, the most important pro-death penalty movie ever made.'"
pro_2_5	Death is more compassionate than life in prison	 Death is more compassionate than life in prison Patrick Henry: - "Is life so dear... as to be purchased at the price of chains and slavery? Forbid it, Almighty God! ...but as for me, give me liberty or give me death."[5]
con_2_1	The state does not honor the victim by emulating the murderer	 The state does not honor the victim by emulating the murderer William Brennan, former U.S. Supreme Court Justice. - "the state does not honor the victim by emulating his murderer."[6]
con_2_2	Capital punishment is void of compassion	 Capital punishment is void of compassion Jesus Chris interrupting a public execution of a woman for adultery. John 8:7, (NKJ) - "He who is without sin among you, let him throw a stone at her first." Jesus said this to point out that no man is sinless, and, therefore, that no man or woman can maintain a perfect moral high ground from which to severely punish another person with execution. Jesus' actions here are commonly interpreted to mean that a level of compassion, sympathy, and forgiveness is needed in any just law, and that a law that lacks such principles - such as capital punishment - is unjust.
con_2_3	Capital punishment does not allow for repenting as life imprisonment does	 Capital punishment does not allow for repenting as life imprisonment does John Paul II was one of the strongest advocates of life without parole over capital punishment, and applied the above rationale. He strongly upheld the Catholic principle of repentance as well as social forgiveness, in the tradition of the teachings of Jesus Christ, and maintained that any just legal order would need to apply these principles at the same time as penalizing criminals. He argued that life imprisonment was the best route to achieving all the objectives of redress, societal protection, repentance, and restitution simultaneously.[7].
con_2_4	Opposition to executions is not about sympathizing with murderers	 Opposition to executions is not about sympathizing with murderers Hugo Adam Bedau. "The Case Against The Death Penalty". American Civil Liberties Union. 1992 - "Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral."
con_2_5	Only love can conquer hatred and murderous acts	 Only love can conquer hatred and murderous acts Hector Black, whose daughter Patricia was murdered in Atlanta, Georgia in 2000, Victim Impact Statement delivered before the Fulton County (Georgia) Superior court, January 2002. - "I know that love does not seek revenge. We do not want a life for a life. Love seeks healing, peace and wholeness. Hatred can never overcome hatred. Only love can overcome hatred and violence. Love is that light. It is that candle that cannot be extinguished by all the darkness and hatred in the world. Judge Goger, that is the reason we are not asking for the death penalty."[8]
headline_3	Innocents: Is it wrong to be concerned about executing innocent people?
pro_3_1	Unquestioned guilt does not carry risk of wrongful execution.	Unquestioned guilt does not carry risk of wrongful execution. There is often no doubt of the guilt of an individual. The evidence may be obvious, with clear DNA testing, witnesses, and a guilty plea from the murderer. In these instances, there is no risk of executing the innocent, making this argument irrelevant. When there is room for doubt, this should be weighed into the equation. Therefore, the concerns of executing an innocent person must be approached on an individual basis.
pro_3_2	Mistaken convictions have not translated into wrongful executions	 Mistaken convictions have not translated into wrongful executions Michael Nevin, Freelance Journalist. "Death Decisions". The American Daily. 8 Apr. 2004 - "Several myths about the death penalty have been reported but continue to be debunked upon closer examination. The Liebman study at Columbia University, 'Broken System: Error Rates in Capital Cases, 1973-1995,' released its results in 2000 claiming serious flaws in the system, including a high 'error' rate. It was later revealed that the misleading 'error' included any issue requiring further review by a lower court, even when the court upheld the sentence. The 23-year study found no cases of mistaken executions. The numerous appeals in capital cases demonstrate the extraordinary adherence to due process. The fallacy that innocent people are being executed cannot be validated, and it is intellectually dishonest for opponents of the death penalty to perpetrate this myth. The death penalty in America is undoubtedly one of the most accurately administered criminal justice procedures in the world."
pro_3_3	Some risk of executing the innocent must be tolerated	 Some risk of executing the innocent must be tolerated G. Edward Griffin in The Great Prison Break - "If we design a legal system that will be so generous to the suspect that there is absolutely no possibility of unjustly convicting that one out of ten thousand defendants who, in spite of overwhelming evidence, is really innocent, then we have also designed a legal system that is utterly incapable of convicting the other 9999 about whose guilt there is no mistake."[9]
pro_3_4	DNA testing increases assurances of guilt; basis for executions	 DNA testing increases assurances of guilt; basis for executions Some argue that DNA testing has revealed the innocence of some that have been on Death Row, believing it indicates that the system is flawed. Yet, DNA testing cuts in favor of capital punishment, increasing assurances that the guilty are guilty and the innocent are innocent. If we can be more certain of guilt, we can be more certain that capital punishment is justified.
pro_3_5	Wrongful convictions can be fixed with better prosecutors	 Wrongful convictions can be fixed with better prosecutors Peter Bronson. "Death Penalty Guards What is Valued Most". International Herald Tribune. 8 Mar. 2001 - "American media, already biased against capital punishment, made a sensation of stories from Chicago about wrongful prosecution. The governor of Illinois declared a moratorium on executions. Most of the stories did not say, however, that the "innocence" was often technical. More than half the "innocent" defendants were later convicted. And malfeasance by prosecutors does not mean the death penalty is wrong, it means Illinois needs better prosecutors."
pro_3_6	Exoneration from death row is not proof of innocence	 Exoneration from death row is not proof of innocence When people are let out of death row, it is often because re-consideration found that there was not sufficient proof of guilt beyond a reasonable doubt. It is not necessarily because proof was found of innocence.
pro_3_7	Due process is all that is required, even if it risks wrongful execution	 Due process is all that is required, even if it risks wrongful execution The law does require only due process to justify the execution of the orders of a conviction. As long as the person is seen to have received due process in receiving a death penalty conviction, it is justifiable to execute them. It matters not if they are later determined to have been innocent; justice was carried out.
pro_3_8	Wrongful convictions do not mean that the system is wrong.	Wrongful convictions do not mean that the system is wrong. It is true that occasionally people are wrongly executed under the capital punishment. However, this does not mean that the death penalty should be abolished. Rather, it means that suspects should be scrutinized more closely.
con_3_1	Risk of executing innocent people undermines death penalty	 Risk of executing innocent people undermines death penalty  Since 1973, 123 in 25 US states have been released from death row with evidence of their innocence.[10] The Innocence project indicated that more than 150 people have been exonerated on the basis of DNA testing that concluded that they were innocent.[11] This appears to create a likelihood that many individuals have actually been executed that were innocent. This is too many, particularly when the executed are seen as innocent victims of the state. This is harmful to the state and the judicial system, and is sufficient evidence to shut down the practice.
con_3_2	Wrongful executions cannot be corrected, violating due process	 Wrongful executions cannot be corrected, violating due process Benjamin Weiser, NYTimes columnist. "A Legal Quest Against the Death Penalty". NYTimes. 2 Jan. 2005 - "DISPLAYING ABSTRACT - Judge Jed S Rakoff of Federal District Court in Manhattan discusses novel legal argument against capital punishment which he developed while overseeing death penalty case; interview; his 2002 ruling pointed to increasing number of DNA exonerations and wondered whether death penalty violates due process because executed prisoners cannot pursue claims of innocence."
con_3_3	Individuals are executed on murder charges whom deserved manslaughter	 Individuals are executed on murder charges whom deserved manslaughter "Thoughts on the death penalty". Retrieved 1 May 2008 - "The person convicted of the murder may have actually killed the victim and may even admit having done so but does not agree that the killing was murder. Often the only people who know what really happened are the accused and the deceased. It then comes down to the skill of the prosecution and defence lawyers as to whether there will be a conviction for murder or for manslaughter. It is thus highly probable that people are convicted of murder when they should really have only been convicted of manslaughter."
headline_4	Cruel and unusual? Is it wrong to consider the death penalty cruel and unusual?
pro_4_1	The death penalty is not cruel	 The death penalty is not cruel Chief Justice Earl Warren, Trop v. Dulles. - "Whatever the arguments may be against capital punishment, both on moral grounds and on grounds and in terms of accomplishing the purposes of punishment.... the death penalty has been employed throughout our history, and in a day when it is still widely accepted, it cannot be said to violate the conceptional concept of cruelty".[12]
pro_4_2	Capital punishment is not unusual (cruel and unusual)	 Capital punishment is not "unusual" ("cruel and unusual") Thomas R. Eddlem. "Ten anti-death penalty fallacies". The New American. 3 June 2002. - "The death penalty is not unusual. All of the nations of the world have had the death penalty on the law books throughout most of their recorded history, and the death penalty remains on the statute books of about half of the nations of the world. The death penalty was on the statute books of all the states of the U.S. when the Constitution was adopted. It is far more unusual to have no death penalty than to have a death penalty."
pro_4_3	Death penalty can/should inflict pain on murderers; due desert	 Death penalty can/should inflict pain on murderers; due desert Bob Greene. "Who Weeps for the Blood of the Weiler Family?". Chicago Tribune. 14 July 1999 - "When Allen Lee Davis got a nosebleed during his execution, it caused an uproar.  Few of those crying foul even knew what he had done to deserve execution." Some go beyond this, arguing that causing pain to the executed is justified as a proportional (due desert) response to the heinous crimes they've committed.
con_4_1	Mistakes in executions can be very cruel/unusual.	Mistakes in executions can be very cruel/unusual. It can be cruel and unusual. e.g, if someone is hanged, but strangle to death. Also, sometimes, criminals do not die, and are still taking the effects of the punishment, for example, being electrocuted, but still being alive, and taking the pain of the volts.
con_4_2	Executions are cruel and unusual punishment, violating human rights	 Executions are cruel and unusual punishment, violating human rights  The death penalty is severe in the damage it causes to the human body. Inflicting mortal damage on the human body, whether by electric chair or lethal injection, is equivalent to or even worse than torture, and violates basic human rights that are inherent and irrevocable. The death penalty is also cruel and torturous in the way that it inflicts psychological damage on convicts that wait on death row.
con_4_3	The death penalty violates the inalienable right to life	The death penalty violates the inalienable right to life.
headline_5	Families: Is capital punishment good for the families of victims?
pro_5_1	Executions give solace to families; killer will never kill again	 Executions give solace to families; killer will never kill again Jeff Jacoby, Boston Globe Columnist. "The feeble 'arguments' against capital punishment". Jewish World Review. 19 June 2001 - "The families of murder victims do not stop mourning when the killer dies, but for many, there is indeed a measure of solace in knowing that the monster who destroyed their loved one will never hurt anyone again. Abolishing executions certainly won't bring 'closure' to grieving relatives. On the contrary, it will deepen their torment, mocking them each time they remember that the person they loved is in the grave, while his killer continues to breathe."
pro_5_2	Executions take vengeance out of hands of loved ones	 Executions take vengeance out of hands of loved ones Jeff Jacoby - "It is up to the law to speak to them-to speak for all grief-stricken survivors confronted with the butchery of someone near and dear. Capital punishment says to them: We, the community, take your loss with the utmost seriousness. We know that you are filled with rage and pain. We know that you may cry for vengeance, may yearn to strangle the murderer with your bare hands. You are right to feel that way. But it is not for you to wreak retribution. As a decent and just society, we will do it. Fairly. After due process. In a court of law."[13]
pro_5_3	Loved ones should not have to support a killer in prison	 Loved ones should not have to support a killer in prison "The Death Penalty: Morally Defensible?". Casey's Critical Thinking - Take, for example, a murderer who took the life of a teenager. The parents of the victim will be among the taxpayers that pay for his meals and his cable television. Should he choose to take advantage of college courses the prison may offer, the parents of the victim will be indirectly financing those expenses as well. Nothing could be further from justice. It is of this type of situation that the abolitionist approves. Somewhere along the line, their priorities have been turned upside down.
pro_5_4	Can any one say that the people who hit the twin towers should be let free.	Can any one say that the people who hit the twin towers should be let free. Punishment is to create fear among the likes who are in line to do this kind of criminal acts.
con_5_1	Capital punishment does not bring closure to families	 Capital punishment does not bring "closure" to families Larry Fitzgerald, Spokeswoman for Texas Department of Criminal Justice. - "With an execution, everyone is a victim. I never believed any of that crap about closure."[14]
con_5_2	The death penalty does not bring back a loved one	 The death penalty does not bring back a loved one -- Sharon Borcyzewski, whose daughter was murdered in 1997, Arizona Republic, 12 Apr. 2004. - "The assumption is all too often made that all murder-victim family members want the death penalty. The horrible reality for those of us who have lost loved ones to homicide is that nothing that happens to their murderers is going to bring our loved ones back."[15]
con_5_3	The death penalty does not honor the memory of a loved one	 The death penalty does not honor the memory of a loved one Jennifer Bishop, whose sister Nancy Bishop Langert and her husband Richard Langert were murdered in 1990. - "Our sister Nancy and her husband Richard were a young couple expecting their first child when they were shot to death in their home. They loved and valued life; our sister was carrying life within her when she died a terrifying and brutal death. Her last act as she was dying was to write a message of love in her blood. We can't imagine making the death of another human being her memorial."
con_5_4	The death penalty harms the family of the executed	 The death penalty harms the family of the executed Theodore Roosevelt, Theodore Roosevelt, An Autobiography - "almost any criminal, however brutal, has usually some person, often a person whom he has greatly wronged, who will plead for him. If the mother is alive she will always come, and she cannot help feeling that the case in which she is so concerned is peculiar, that in this case a pardon should be granted. It was really heartrending to have to see the kinfolk and friends of murderers who were condemned to death, and among the very rare occasions when anything governmental or official caused me to lose sleep were times when I had to listen to some poor mother making a plea for a criminal so wicked, so utterly brutal and depraved, that it would have been a crime on my part to remit his punishment."[16]
headline_6	Modern society: Is capital punishment appropriate in modern society?
pro_6_1	It is acceptable to give a person the job of executing another.	It is acceptable to give a person the job of executing another. Some argue that it is cruel to delegate the task of execution; however, it is perfectly acceptable if the executioner opted for the job. While it is indeed unfair to pressure someone into becoming an executioner, claiming that "it is wrong to give a person the job of executing another" is not a reasonable argument.
pro_6_2	Capital punishment is not barbaric; it is often a civilized punishment	 Capital punishment is not barbaric; it is often a civilized punishment Charles Colson. "Preserving the Dignity of Man. The Case for Capital Punishment". Prison Fellowship Ministries. 2001 - "Why is it barbaric to require that one who violently steals the life of an innocent (or 168 innocents) not be allowed to keep his own? Where is the moral tradition that prescribes life for mass-murderers? How can it be civilizing to tell the world's worst people that no matter no matter how many victims they butcher, no matter what cruelty they inflict on others, the worst that will happen to them is that they will go to prison? Those are questions that abolitionists never answer."
pro_6_3	Modern states regulate executions, unlike barbaric executions elsewhere	 Modern states regulate executions, unlike barbaric executions elsewhere Thomas R. Eddlem. "Ten anti-death penalty fallacies". The New American. 3 June 2002 - "The arbitrary use of capital punishment in totalitarian societies argues for ensuring that government never abuses this power; it does not argue against the principle of capital punishment, which, in a free society, is applied justly under the rule of law."
con_6_2	The death penalty is uncharacteristic of a decent society	 The death penalty is uncharacteristic of a decent society Abe Fortas, former U.S. Supreme Court Justice - "Why, when we have bravely and nobly progressed so far in the recent past to create a decent, humane society, must we perpetuate the senseless barbarism of official murder?"[17]
con_6_3	Executions characterize oppressive, undemocratic countries	 Executions characterize oppressive, undemocratic countries deathpenalty.org - "The USA is keeping company with notorious human rights abusers. The vast majority of countries in Western Europe, North America and South America -- more than 105 nations worldwide -- have abandoned capital punishment. The United States remains in the same company as Iraq, Iran, and China as one of the major advocates and users of capital punishment."[18]
con_6_4	Killing in any form victimizes all of humankind	 Killing in any form victimizes all of humankind [19] John Donne (1572-1631), a Jacobean poet and preacher. "Meditation XVII: No man is an island...". 1624 - "All mankind is of one author, and is one volume; when one man dies, one chapter is not torn out of the book, but translated into a better language; and every chapter must be so translated...As therefore the bell that rings to a sermon, calls not upon the preacher only, but upon the congregation to come: so this bell calls us all: but how much more me, who am brought so near the door by this sickness....No man is an island, entire of itself...any man's death diminishes me, because I am involved in mankind; and therefore never send to know for whom the bell tolls; it tolls for thee." In other words, the death of a fellow human kills a part of all of us, and, therefore, the death penalty kills a part of all of us.
con_6_5	An eye for an eye makes the whole world blind	 "An eye for an eye makes the whole world blind" - Mahatma Ghandi. In other words, if we insist on holding to an ideology of punishing a crime with proportional harm and suffering to that which was inflicted on victims, we will all lose sight of the real solution to our problems, which is compassion and love.
con_6_6	Society is judged by how it treats prisoners; executions fail test	 Society is judged by how it treats prisoners; executions fail test Oscar Wilde - "One is absolutely sickened, not by the crimes that the wicked have committed, but by the punishment that the good have inflicted."[20]
con_6_7	It is wrong to give a person the job of executing another person	It is wrong to give a person the job of executing another person.
headline_7	Crime: Does capital punishment help protect the public and deter crime?
pro_7_1	Capital punishment has a deterrent effect on criminal activities	 Capital punishment has a deterrent effect on criminal activities As a deterrent to others, it depends on how effectively the death penalty is applied; in the USA where less than 1% of murderers are executed, it is difficult to assess the true effect of deterrence. But for example, a 1985 study (Stephen K. Layson, University of North Carolina) showed that 1 execution deterred 18 murders.
pro_7_2	Capital punishment is 100% effective in preventing a murderer from killing again	 Capital punishment is 100% effective in preventing a murderer from killing again. There are many instances in which released, paroled, or escaped murderers have gone on to kill again. Capital punishment eliminates this risk. In this way, capital punishment is important to ensuring that murderers will never kill again, and in protecting innocent citizens.
pro_7_3	Criminals fear death and the death penalty	 Criminals fear death and the death penalty Pro Death Penalty Webpage - Abolitionists also hold the notion that criminals do not fear death because they do not take time to think about the consequences of their acts. If that were true, then I wonder how police officers manage to arrest criminals without killing them. When a policeman holds a criminal at gunpoint and tells him to get on the ground, the criminal will comply fully in the vast majority of of these cases. Why would they do that unless they were afraid of the lethal power of the gun? It is because regardless of what abolitionists claim, criminals are not immune to fear! It is a common misconception to believe that fear is a thought process that has to be worked out with a piece of paper. It's not! It is an instinct that automatically kicks in when one is faced with lethal force! The examples below should confirm that point.
pro_7_4	The death penalty helps protect inmates and prison guards	 The death penalty helps protect inmates and prison guards Life in prison without parole does not protect everyone from a murderer. Instead, it puts fellow inmates as well as prison guards in jeopardy of being assaulted or murdered. This is particularly true when a prisoner calculates that their life is hopeless and that their punishment could not get any worse, so why not boundlessly murder?
pro_7_5	The death penalty deters crime only if it is a certainty	 The death penalty deters crime only if it is a certainty When the death penalty is a 100% assured punishment for certain crimes, it has a strong deterrent effect. When it is a possible, "maybe" punishment, it has a much less certain deterrent effect. In the United States, few states have established capital punishment as a 100% certain punishment, with it generally being a very rare and arbitrary practice. This is one of the reasons why its deterrent effect is unclear in the states, and why US-focused studies (used frequently by anti-death penalty advocates) are less credible in determining the real deterrent effect of capital punishment. Looking to cases around the world where it is a certainty show a closer causality between capital punishment and crime-deterrence.
